Portfolio Name,Scheme Code,ISIN,Scheme Name,Transaction Date,Transaction Type,Transaction Amount,Transaction Charges,Transaction Units,Transaction NAV,NAV,Date
Bulk,103168,INF209K01140/-,Aditya Birla Sun Life Digital India Fund - Growth - Regular Plan,2021-10-05,Investment,100000,5,733.047,136.41,,
Bulk,103168,INF209K01140/-,Aditya Birla Sun Life Digital India Fund - Growth - Regular Plan,2024-07-19,Redemption,-129272,1.29,-733.047,176.35,,
Bulk,107745,INF209K01108/-,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,2018-02-14,Investment,75000,0,2396.17,31.3,61.22,2026-06-25
Bulk,107745,INF209K01108/-,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,2021-04-27,Redemption,-90886.6,0,-2396.17,37.93,61.22,2026-06-25
Bulk,103309,INF209K01462/-,Aditya Birla Sun Life Focused Fund -Growth Option,2014-12-10,Investment,200000,0,4742.29,42.1737,,
Bulk,103309,INF209K01462/-,Aditya Birla Sun Life Focused Fund -Growth Option,2015-07-17,Redemption,-208888,0,-4742.29,44.0479,,
Bulk,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2025-10-31,Investment,10000,0.5,79.9,125.15,130.06,2026-06-25
Bulk,113221,INF760K01AR3/-,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,2021-04-20,Investment,100000,5,2917.86,34.27,61.15,2026-06-25
Bulk,148884,INF760K01JT0/-,Canara Robeco Focused Fund - Regular Plan - Growth Option,2021-05-17,Investment,300000,15,29998.5,10,19.43,2026-06-25
Bulk,150816,INF760K01KL5/-,Canara Robeco Mid Cap Fund- Regular Plan- Growth Option,2022-12-02,Investment,70000,3.5,6999.65,10,18,2026-06-25
Bulk,152206,INF740KA1TQ3/-,DSP Banking & Financial Services Fund - Direct - Growth,2025-07-23,Investment,35000,1.75,2526.77,13.851,15.211,2026-06-25
Bulk,152056,INF740KA1TE9/-,DSP Multi Asset Allocation Fund - Direct - Growth,2025-10-14,Investment,5000,0.25,328.378,15.2256,16.5496,2026-06-25
Bulk,152056,INF740KA1TE9/-,DSP Multi Asset Allocation Fund - Direct - Growth,2025-10-16,Investment,5000,0.25,326.785,15.2998,16.5496,2026-06-25
Bulk,140242,INF843K01138/-,Edelweiss Greater China Equity Off-shore Fund - Regular Plan - Growth Option,2021-10-05,Investment,50000,2.5,1055.31,47.377,,
Bulk,140242,INF843K01138/-,Edelweiss Greater China Equity Off-shore Fund - Regular Plan - Growth Option,2021-10-27,Investment,85082,4.25,1681.61,50.593,,
Bulk,140242,INF843K01138/-,Edelweiss Greater China Equity Off-shore Fund - Regular Plan - Growth Option,2023-12-06,Redemption,-87912.7,0,-2736.92,32.121,,
Bulk,146196,INF754K01JN6/-,Edelweiss Small Cap Fund - Direct Plan - Growth,2026-02-19,Investment,1000,0.05,20.967,47.692,51.507,2026-06-25
Bulk,100868,INF179KB1HK0/-,HDFC Liquid Fund - Growth Plan,2014-03-13,Investment,100000,0,3971.45,25.1797,5339.11,2026-03-22
Bulk,100868,INF179KB1HK0/-,HDFC Liquid Fund - Growth Plan,2014-06-10,Redemption,-25000,0,-970.764,25.7529,5339.11,2026-03-22
Bulk,100868,INF179KB1HK0/-,HDFC Liquid Fund - Growth Plan,2014-07-28,Redemption,-78160.4,0,-3000.69,26.0475,5339.11,2026-03-22
Bulk,151034,INF917K01254/-,HSBC Midcap Fund - Regular Growth,2017-10-17,Investment,20720,0,147.536,140.44,455.629,2026-06-25
Bulk,151034,INF917K01254/-,HSBC Midcap Fund - Regular Growth,2023-10-09,Redemption,-37294.4,0.37,-147.536,252.784,455.629,2026-06-25
