Portfolio Name,Symbol,ISIN,Name,Transaction Date,Transaction Type,Transaction Amount,Transaction Charges,Transaction Units,Transaction Price,Price,Date
BSE,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Limited,2024-08-05,Purchase,4547.37,29.37,3,1506,1796,2026-06-25
BSE,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Limited,2025-07-01,Dividend,21,0,0,0,1796,2026-06-25
BSE,ADANIPOWER,INE814H01011,Adani Power Limited,2024-08-13,Purchase,4684.67,6.22,7,668.35,229.27,2026-06-25
BSE,ADANIPOWER,INE814H01011,Adani Power Limited,2025-09-22,Bonus,0,0,28,0,229.27,2026-06-25
BSE,AXISBANK,INE238A01034,Axis Bank Limited,2024-07-25,Purchase,4697.55,29.55,4,1167,1377.2,2026-06-25
BSE,AXISBANK,INE238A01034,Axis Bank Limited,2025-07-28,Dividend,4,0,0,0,1377.2,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2024-07-23,Purchase,6738.97,31.97,1,6707,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2024-07-24,Purchase,6581.79,31.79,1,6550,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2024-09-16,Purchase,7383.71,8.71,1,7375,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2024-10-04,Purchase,7208.53,8.53,1,7200,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2025-05-26,Dividend,24,0,0,0,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2025-05-26,Dividend,24,0,0,0,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2025-06-16,Bonus,0,0,18,0,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2025-06-16,Bonus,0,0,18,0,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2025-06-17,Purchase,8379.75,9.75,9,930,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2025-07-25,Dividend,88,0,0,0,980.4,2026-06-25
BSE,BAJFINANCE,INE296A01024,Bajaj Finance Limited,2025-07-25,Dividend,88,0,0,0,980.4,2026-06-25
BSE,HDFCBANK,INE040A01034,HDFC Bank Limited,2024-08-13,Purchase,4842.06,6.06,3,1612,796.3,2026-06-25
BSE,HDFCBANK,INE040A01034,HDFC Bank Limited,2025-08-11,Dividend,15,0,0,0,796.3,2026-06-25
BSE,HDFCBANK,INE040A01034,HDFC Bank Limited,2025-08-11,Dividend,66,0,0,0,796.3,2026-06-25
BSE,HDFCBANK,INE040A01034,HDFC Bank Limited,2025-08-29,Bonus,0,0,3,0,796.3,2026-06-25
BSE,INDUSINDBK,INE095A01012,IndusInd Bank Limited,2024-10-29,Purchase,5206.44,6.44,5,1040,918.95,2026-06-25
BSE,INDUSINDBK,INE095A01012,IndusInd Bank Limited,2025-05-22,Purchase,5466.71,6.71,7,780,918.95,2026-06-25
BSE,INFY,INE009A01021,Infosys Limited,2024-09-18,Purchase,5676.93,6.93,3,1890,1041.2,2026-06-25
BSE,INFY,INE009A01021,Infosys Limited,2024-10-18,Purchase,5631.88,6.88,3,1875,1041.2,2026-06-25
BSE,INFY,INE009A01021,Infosys Limited,2024-10-31,Purchase,5272.71,6.51,3,1755.4,1041.2,2026-06-25
BSE,INFY,INE009A01021,Infosys Limited,2024-11-08,Dividend,113,0,0,0,1041.2,2026-06-25
BSE,INFY,INE009A01021,Infosys Limited,2025-06-30,Dividend,198,0,0,0,1041.2,2026-06-25
BSE,INFY,INE009A01021,Infosys Limited,2025-11-07,Dividend,166.5,0,0,0,1041.2,2026-06-25
BSE,INFY,INE009A01021,Infosys Limited,2026-06-25,Dividend,425,0,0,0,1041.2,2026-06-25
BSE,ITCHOTELS,INE379A01028,ITC Hotels Limited,2024-10-09,Bonus,0,0,1,0,173.68,2026-06-25
BSE,ITC,INE154A01025,ITC Limited,2024-10-09,Purchase,4916.13,6.13,10,491,290,2026-06-25
BSE,ITC,INE154A01025,ITC Limited,2025-03-07,Dividend,65,0,0,0,290,2026-06-25
BSE,ITC,INE154A01025,ITC Limited,2026-02-27,Dividend,65,0,0,0,290,2026-06-25
BSE,JSWSTEEL,INE019A01038,JSW Steel Limited,2024-08-02,Purchase,4559.39,29.39,5,906,1231,2026-06-25
BSE,JSWSTEEL,INE019A01038,JSW Steel Limited,2024-08-05,Purchase,6142.27,31.27,7,873,1231,2026-06-25
BSE,JSWSTEEL,INE019A01038,JSW Steel Limited,2024-10-08,Purchase,4951.17,6.17,5,989,1231,2026-06-25
BSE,JSWSTEEL,INE019A01038,JSW Steel Limited,2025-07-29,Dividend,14,0,0,0,1231,2026-06-25
BSE,JSWSTEEL,INE019A01038,JSW Steel Limited,2025-07-29,Dividend,33.6,0,0,0,1231,2026-06-25
BSE,KPEL,INE127T01013,K.P. Energy Limited,2025-07-08,Purchase,14226.8,16.83,29,490,349.25,2026-06-25
BSE,KPEL,INE127T01013,K.P. Energy Limited,2025-09-01,Dividend,5.8,0,0,0,349.25,2026-06-25
BSE,KPEL,INE127T01013,K.P. Energy Limited,2025-10-15,Dividend,2.9,0,0,0,349.25,2026-06-25
BSE,KPEL,INE127T01013,K.P. Energy Limited,2025-12-03,Dividend,7.25,0,0,0,349.25,2026-06-25
BSE,KOTAKBANK,INE237A01028,Kotak Mahindra Bank Limited,2024-07-22,Purchase,5355.33,30.33,3,1775,405.95,2026-06-24
BSE,KOTAKBANK,INE237A01028,Kotak Mahindra Bank Limited,2025-08-04,Dividend,7.5,0,0,0,405.95,2026-06-24
BSE,KOTAKBANK,INE237A01028,Kotak Mahindra Bank Limited,2025-09-01,Sale,-5902.77,7.23,-3,1970,405.95,2026-06-24
BSE,LT,INE018A01030,Larsen & Toubro Limited,2024-07-25,Purchase,7002.3,32.3,2,3485,4216.4,2026-06-25
BSE,LT,INE018A01030,Larsen & Toubro Limited,2025-06-21,Dividend,68,0,0,0,4216.4,2026-06-25
